"filename", "language", "TypeScript", "YAML", "TypeScript JSX", "MS SQL", "Java Properties", "Java", "Docker", "XML", "JSON", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\BachKhoa\Kbase\.github\workflows\ci-cd.yml", "YAML", 0, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -88
"c:\BachKhoa\Kbase\.github\workflows\deploy.yml", "YAML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\BachKhoa\Kbase\BE\api-gateway\src\main\resources\application.yml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\config\RestClientConfig.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\controller\DocumentController.java", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\ProjectPermissionResponse.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\UpdateDocumentRequest.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\DocumentService.java", "Java", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\ProjectPermissionClient.java", "Java", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\S3StorageService.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\BachKhoa\Kbase\BE\document-service\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\BachKhoa\Kbase\BE\project-service\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\controller\ProjectController.java", "Java", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\AddMemberRequest.java", "Java", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\InviteMemberRequest.java", "Java", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectInvitationResponse.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectMemberResponse.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectPermissionResponse.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\ForbiddenException.java", "Java", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\InvitationStatus.java", "Java", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectInvitation.java", "Java", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 16, 69
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectMember.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectInvitationRepository.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\EmailService.java", "Java", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\ProjectService.java", "Java", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 12, 191
"c:\BachKhoa\Kbase\BE\project-service\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\app-path-routes-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -20
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\chunks\[root-of-the-server]__0iv9ksq._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -204, 0, 0, -13, -16, -233
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\chunks\[root-of-the-server]__0rua-~2._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -458, 0, 0, -31, -11, -500
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\chunks\[turbopack-node]_transforms_postcss_ts_0nnejqq._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -1, -13
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\chunks\[turbopack]_runtime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -717, 0, 0, -171, -2, -890
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\chunks\node_modules_13sb.px._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5829, 0, 0, -952, -43, -6824
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\build\postcss.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -1, -7
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\diagnostics\build-diagnostics.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\diagnostics\framework.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\diagnostics\route-bundle-stats.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -29
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\export-marker.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\fallback-build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, -13
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\images-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, 0, -68
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\next-minimal-server.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\next-server.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\prerender-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, -85
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\required-server-files.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -333, 0, 0, 0, 0, -333
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\required-server-files.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -333, 0, 0, 0, 0, 0, -333
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\routes-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, -63
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_global-error\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -1, -13
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\_not-found\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -1, -14
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__01zapbh._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -33
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__03j7h3w._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
